rank,r1_quota,r1_institute,r1_course,r1_remarks,r2_quota,r2_institute,r2_course,r2_remarks,r3_quota,r3_institute,r3_course,r3_alloted_category,r3_candidate_category,r3_option_no,r3_remarks
22,AI,NIZAMS INSTITUTE OF MEDICAL SCIENCES,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
23,AI,"PGIMER, DR. RML Hospital, Cannaught Place, New Delhi",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
24,AI,Maulana Azad Medical College,M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Not Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
25,AI,"Vardhman Mahavir Medical College, , New Delhi",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
26,AI,"GOVT. MEDICAL COLLEGE AND HOSPITAL, CHANDIGARH",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
27,AI,Maulana Azad Medical College,M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,No Upgradation
28,AI,Maulana Azad Medical College,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
29,AI,"Sher-i-Kashmir Institute of Medical Sciences, Srinagar,J&K",M.D. (GENERAL MEDICINE),Seat Surrendered,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
31,AI,Maulana Azad Medical College,M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,No Upgradation
32,AI,Bangalore Medical College and Research Institute,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
33,AI,Maulana Azad Medical College,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
34,AI,"Seth Gordhandas Sunderdas Medical College, MUMBAI",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
35,IP,"Vardhman Mahavir Medical College, , New Delhi",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
36,AI,Bangalore Medical College and Research Institute,M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,AI,"Grant Medical College, Maharashtra,Grant Medical College, Maharashtra, Maharashtra, 400008",M.D. (RADIO- DIAGNOSIS),Open,General,3,Upgraded
37,AI,Sanjay Gandhi Postgarduate Institute of Medical Sciences,M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
38,AI,"PGIMER, DR. RML Hospital, Cannaught Place, New Delhi",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
39,AI,Maulana Azad Medical College,M.D. (GENERAL MEDICINE),Reported,AI,"PGIMER, DR. RML Hospital, Cannaught Place, New Delhi",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,Did not fill up fresh choices.
41,AI,"B. J. MEDICAL COLLEGE, Ahmedabad",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
42,AI,"PGIMER, DR. RML Hospital, Cannaught Place, New Delhi",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
43,AI,"Vardhman Mahavir Medical College, , New Delhi",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
44,AI,"Vardhman Mahavir Medical College, , New Delhi",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
45,AI,"PGIMER, DR. RML Hospital, Cannaught Place, New Delhi",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
46,AI,"PGIMER, DR. RML Hospital, Cannaught Place, New Delhi",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
47,AI,LOKMANYA TILAK MEDICAL COLLEGE MUMBAI,M.D. (RADIO- DIAGNOSIS),Not Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
48,AI,"Vardhman Mahavir Medical College, , New Delhi",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
49,AI,"Vardhman Mahavir Medical College, , New Delhi",M.D. (GENERAL MEDICINE),Reported,AI,"PGIMER, DR. RML Hospital, Cannaught Place, New Delhi",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,Did not opt for Upgradation.
50,AI,MADRAS MEDICAL COLLEGE,M.D. (RADIO- DIAGNOSIS),Seat Surrendered,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
51,AI,"PGIMER, DR. RML Hospital, Cannaught Place, New Delhi",M.D. (GENERAL MEDICINE),Not Reported,AI,"Seth Gordhandas Sunderdas Medical College, MUMBAI",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,No Upgradation
52,AI,IPGME&R and SSKM Hospital Kolkata,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,AI,"Vardhman Mahavir Medical College, , New Delhi,Vardhman Mahavir Medical College, , New Delhi, Delhi (NCT), 110029",M.D. (GENERAL MEDICINE),Open,General,2,Upgraded
53,AI,Lady Hardinge Medical College,M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,No Upgradation
54,AI,Government Medical College Kozhikode,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
55,AI,"Sawai Man Singh Medical College, JAIPUR",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
56,AI,"Seth Gordhandas Sunderdas Medical College, MUMBAI",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
57,AI,Bangalore Medical College and Research Institute,"M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SK IN and VENEREAL DISEASES)/(VENERE OLOGY)",Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
58,AI,Government Medical College Kozhikode,M.D. (PAEDIATRICS),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
59,AI,Bangalore Medical College and Research Institute,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
60,AI,"Sher-i-Kashmir Institute of Medical Sciences, Srinagar,J&K",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
61,AI,"MEDICAL COLLEGE, KOLKATA",M.D. (GENERAL MEDICINE),Not Reported,AI,"MEDICAL COLLEGE, KOLKATA",M.D. (GENERAL MEDICINE),Not Reported,-,-,-,-,-,-,Did not fill up fresh choices.
62,AI,MADRAS MEDICAL COLLEGE,M.S. (GENERAL SURGERY),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
63,AI,Government Medical College Kozhikode,M.D. (GENERAL MEDICINE),Not Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
64,AI,"Vardhman Mahavir Medical College, , New Delhi",M.D. (GENERAL MEDICINE),Reported,AI,Maulana Azad Medical College,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,Did not fill up fresh choices.
65,AI,NIZAMS INSTITUTE OF MEDICAL SCIENCES,M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
66,AI,Maulana Azad Medical College,M.D. (GENERAL MEDICINE),Reported,AI,"PGIMER, DR. RML Hospital, Cannaught Place, New Delhi",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,Did not fill up fresh choices.
67,AI,LOKMANYA TILAK MEDICAL COLLEGE MUMBAI,M.D. (RADIO- DIAGNOSIS),Seat Surrendered,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
68,IP,"Vardhman Mahavir Medical College, , New Delhi",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
69,AI,Government Medical College Kozhikode,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
70,AI,"Vardhman Mahavir Medical College, , New Delhi",M.D. (GENERAL MEDICINE),Not Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
71,DU,Maulana Azad Medical College,M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
72,AI,"Vardhman Mahavir Medical College, , New Delhi",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,No Upgradation
73,AI,MADRAS MEDICAL COLLEGE,M.D. (RADIO- DIAGNOSIS),Reported,AI,MADRAS MEDICAL COLLEGE,M.D. (GENERAL MEDICINE),Not Reported,AI,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI, CHENNAI-03, Tamil Nadu, 600003",M.D. (RADIO- DIAGNOSIS),Open,OBC,1,Fresh Allotted in 3nd Round
74,AI,Bangalore Medical College and Research Institute,M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
75,AI,"Vardhman Mahavir Medical College, , New Delhi",M.D. (GENERAL MEDICINE),Seat Surrendered,-,-,-,-,-,-,-,-,-,-,Not Allotted.
76,AI,Maulana Azad Medical College,M.S. (GENERAL SURGERY),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
77,AI,"PGIMER, DR. RML Hospital, Cannaught Place, New Delhi",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
78,DU,Maulana Azad Medical College,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
79,AI,University College of Medical Sciences,M.D. (RADIO- DIAGNOSIS),Not Reported,AI,University College of Medical Sciences,M.D. (RADIO- DIAGNOSIS),Not Reported,-,-,-,-,-,-,Did not fill up fresh choices.
80,AI,LOKMANYA TILAK MEDICAL COLLEGE MUMBAI,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
81,DU,Maulana Azad Medical College,M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
82,AI,"Grant Medical College, Maharashtra",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,AI,"University College of Medical Sciences,University College of Medical Sciences, Delhi (NCT), 110095",M.D. (RADIO- DIAGNOSIS),Open,General,7,Upgraded
83,AI,"Vardhman Mahavir Medical College, , New Delhi",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,No Upgradation
84,AI,"Grant Medical College, Maharashtra",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
85,AI,"Seth Gordhandas Sunderdas Medical College, MUMBAI",M.D. (GENERAL MEDICINE),Reported,AI,"Vardhman Mahavir Medical College, , New Delhi",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,No Upgradation
86,AI,NIZAMS INSTITUTE OF MEDICAL SCIENCES,M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
87,DU,Maulana Azad Medical College,M.D. (RADIO- DIAGNOSIS),Seat Surrendered,-,-,-,-,DU,"Maulana Azad Medical College,Maulana Azad Medical College, Delhi (NCT), 110002",M.D. (RADIO- DIAGNOSIS),Open,General,3,Fresh Allotted in 3nd Round
88,AI,Bangalore Medical College and Research Institute,M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
89,AI,LOKMANYA TILAK MEDICAL COLLEGE MUMBAI,M.D. (RADIO- DIAGNOSIS),Reported,AI,"Vardhman Mahavir Medical College, , New Delhi",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Reported,-,-,-,-,-,-,Did not fill up fresh choices.
90,AI,LOKMANYA TILAK MEDICAL COLLEGE MUMBAI,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,No Upgradation
91,AI,Lady Hardinge Medical College,M.D. (GENERAL MEDICINE),Reported,AI,"Vardhman Mahavir Medical College, , New Delhi",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,Did not fill up fresh choices.
92,DU,Maulana Azad Medical College,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
93,AI,University College of Medical Sciences,M.D. (GENERAL MEDICINE),Reported,AI,"Vardhman Mahavir Medical College, , New Delhi",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,No Upgradation
94,AI,STANLEY MEDICAL COLLEGE,M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
95,AI,"Vardhman Mahavir Medical College, , New Delhi",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
96,AI,LOKMANYA TILAK MEDICAL COLLEGE MUMBAI,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
97,AI,MADRAS MEDICAL COLLEGE,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
98,AI,Lady Hardinge Medical College,M.D. (PAEDIATRICS),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
99,AI,"INSTITUTE OF MEDICAL SCIENCES, BANARAS HINDU UNIVERSITY",M.D. (GENERAL MEDICINE),Reported,AI,Lady Hardinge Medical College,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,No Upgradation
100,IP,"Vardhman Mahavir Medical College, , New Delhi",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
101,AI,G B Pant Institute of Post Graduate Medical Education and Research,M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
102,AI,"INSTITUTE OF MEDICAL SCIENCES, BANARAS HINDU UNIVERSITY",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
103,DU,Maulana Azad Medical College,M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,DU,"Maulana Azad Medical College,Maulana Azad Medical College, Delhi (NCT), 110002",M.D. (GENERAL MEDICINE),Open,General,5,Upgraded
104,AI,"PGIMER, DR. RML Hospital, Cannaught Place, New Delhi",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
105,AI,"Sawai Man Singh Medical College, JAIPUR",M.D. (GENERAL MEDICINE),Not Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
106,AI,LOKMANYA TILAK MEDICAL COLLEGE MUMBAI,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
107,AI,Sanjay Gandhi Postgarduate Institute of Medical Sciences,M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
108,AI,"Vardhman Mahavir Medical College, , New Delhi","M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SK IN and VENEREAL DISEASES)/(VENERE OLOGY)",Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
109,AD,"Sir Ganga Ram Hospital,",(NBEMS) RADIO- DIAGNOSIS,Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
110,AI,MADRAS MEDICAL COLLEGE,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
111,DU,Lady Hardinge Medical College,M.D. (RADIO- DIAGNOSIS),Not Reported,DU,Lady Hardinge Medical College,M.D. (RADIO- DIAGNOSIS),Reported,DU,"Maulana Azad Medical College,Maulana Azad Medical College, Delhi (NCT), 110002",M.D. (RADIO- DIAGNOSIS),Open,General,3,Upgraded
112,AI,Lady Hardinge Medical College,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
113,AI,Bangalore Medical College and Research Institute,"M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SK IN and VENEREAL DISEASES)/(VENERE OLOGY)",Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
114,AI,NIZAMS INSTITUTE OF MEDICAL SCIENCES,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
115,AI,Bangalore Medical College and Research Institute,M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,AI,"MYSORE MEDICAL COLLEGE AND RESEARCH INSTITUTE,MYSORE MEDICAL COLLEGE AND RESEARCH INSTITUTE, Karnataka, 570001",M.D. (GENERAL MEDICINE),Open,General,5,Upgraded
117,AI,NIZAMS INSTITUTE OF MEDICAL SCIENCES,M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
118,AI,"B. J. MEDICAL COLLEGE, Ahmedabad",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
119,AI,"GOVT. MEDICAL COLLEGE AND HOSPITAL, CHANDIGARH",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
120,AI,MADRAS MEDICAL COLLEGE,M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
121,AI,Maulana Azad Medical College,M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
122,AI,Maulana Azad Medical College,M.D. (PAEDIATRICS),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
123,AI,Government medical college patiala.,M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,No Upgradation
124,AI,"B. J. MEDICAL COLLEGE, Ahmedabad",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
125,AI,"Grant Medical College, Maharashtra",M.S. (GENERAL SURGERY),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
126,DU,Maulana Azad Medical College,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
127,AI,"Seth Gordhandas Sunderdas Medical College, MUMBAI",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,No Upgradation
128,AI,"GOVT. MEDICAL COLLEGE, THIRUVANANTHAPURAM",M.D. (RADIO- DIAGNOSIS),Not Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
129,AI,TOPIWALA NATIONAL MEDICAL COLLEGE,M.D. (GENERAL MEDICINE),Not Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
130,AI,"Grant Medical College, Maharashtra",M.D. (RADIO- DIAGNOSIS),Not Reported,AI,LOKMANYA TILAK MEDICAL COLLEGE MUMBAI,M.D. (RADIO- DIAGNOSIS),Seat Surrendered,-,-,-,-,-,-,Did not fill up fresh choices.
131,AI,Lady Hardinge Medical College,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
132,AI,University College of Medical Sciences,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,No Upgradation
133,AI,"Vardhman Mahavir Medical College, , New Delhi",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
134,AI,"Vardhman Mahavir Medical College, , New Delhi",M.D. (GENERAL MEDICINE),Not Reported,AI,"Grant Medical College, Maharashtra",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,No Upgradation
135,AI,Sanjay Gandhi Postgarduate Institute of Medical Sciences,M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
136,IP,"PGIMER, DR. RML Hospital, Cannaught Place, New Delhi",M.D. (GENERAL MEDICINE),Seat Surrendered,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
137,AI,IPGME&R and SSKM Hospital Kolkata,M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,No Upgradation
138,AI,"TATA MEMORIAL CENTRE, MUMBAI",M.D. IN NUCLEAR MEDICINE,Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
139,AI,"Vardhman Mahavir Medical College, , New Delhi",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
140,AI,"Vardhman Mahavir Medical College, , New Delhi",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
141,AI,"Vardhman Mahavir Medical College, , New Delhi",M.S. (E.N.T.),Not Reported,AI,"Vardhman Mahavir Medical College, , New Delhi",M.S. (E.N.T.),Not Reported,-,-,-,-,-,-,Did not fill up fresh choices.
142,AI,Lady Hardinge Medical College,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
143,AI,"Dr Ram Manohar Lohia Institute of Medical Sciences, Lucknow",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
144,AI,IPGME&R and SSKM Hospital Kolkata,M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
145,AI,University College of Medical Sciences,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,AI,"PGIMER, DR. RML Hospital, Cannaught Place, New Delhi,ABVIMS, DR. RML Hospital, Baba Kharak Singh Marg, Cannaught Place, New Delhi",M.S. (GENERAL SURGERY),Open,General,3,Upgraded
146,AI,KING GEORGES MEDICAL UNIVERSITY,M.D. (RADIO- DIAGNOSIS),Not Reported,AI,"B. J. MEDICAL COLLEGE, Ahmedabad",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,No Upgradation
147,AI,Government Medical College Kozhikode,M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
148,AI,Government Medical College Kozhikode,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
149,AI,"GOVT. MEDICAL COLLEGE, THIRUVANANTHAPURAM",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
150,AI,University College of Medical Sciences,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,AD,"Sir Ganga Ram Hospital, ,Rajinder Nagar, New Delhi, Delhi (NCT), 110060",(NBEMS) GENERAL MEDICINE,Open,General,3,Upgraded
151,AI,Bangalore Medical College and Research Institute,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
