rank,r1_quota,r1_institute,r1_course,r1_remarks,r2_quota,r2_institute,r2_course,r2_remarks,r3_quota,r3_institute,r3_course,r3_alloted_category,r3_candidate_category,r3_option_no,r3_remarks
25524,PS,"SRM MEDICAL COLLEGE HOSPITAL AND RESEARCH CENTRE, SRM INSTITUTE OF SCIENCE AND TECHNOLOGY",GMED,Seat Surrendered,-,-,-,-,DNB Quota,"Vadamalayan Hospital,,Registered Office - 15, Jawahar Road, Chokkikulam, Madurai - 625002. 9A, Vallabhai Road, Chokkikula, Tamil Nadu, 625002",(NBEMS) Emergency Medicine,Open,OBC,12,Fresh Allotted in 3nd Round
25526,AD,"Hindu Rao Hospital,",DPTH,Reported,DNB Quota,"Sir Ganga Ram Hospital,",DPTH,Reported,-,-,-,-,-,-,No Upgradation
25527,AI,"Government Medical College, Surat",T-FM,Not Reported,All India,"Sawai Man Singh Medical College, JAIPUR",T-FM,Reported,-,-,-,-,-,-,No Upgradation
25529,-,-,-,-,-,-,-,-,All India,"SHYAM SHAH MEDICAL COLLEGE,deanmcrewa@rediffmail.com, Madhya Pradesh, 486001",M.D. (PSYCHIATRY),OBC,OBC,7,Fresh Allotted in 3nd Round
25530,-,-,-,-,All India,GAJRA RAJA MEDICAL COLLEGE GWALIOR,ASTH,Not Reported,-,-,-,-,-,-,Did not fill up fresh choices.
25533,AD,"ISHWAR EYE CENTRE LLP, 926, VIJAY PARK JHANG COLONY, ROHTAK, Haryana-124001",DOPH,Reported,DNB Quota,"SANKARA NETRA CHIKITSALAYA, Andhra Pradesh",DOPH,Reported,DNB Quota,"Dr. Om Parkash Eye Institute Pvt. Ltd, Punjab,117-A, THE MALL, NOVELTY CHOWK, AMRITSAR, Punjab, 143001",(NBEMS) OPHTHALMOLOGY,Open,General,86,Upgraded
25534,AD,"Yatharth Superspeciality Hospitals, Uttar Pradesh",DANS,Not Reported,DNB Quota,"Medanta Hospital, Uttar Pradesh",DANS,Not Reported,-,-,-,-,-,-,Not Allotted.
25535,-,-,-,-,All India,"College of Medicine and JNM Hospital, WBUHS",EN-T,Not Reported,-,-,-,-,-,-,Did not fill up fresh choices.
25538,AI,"THANJAVUR MEDICAL COLLEGE, THANJAVUR",GMED,Reported,All India,"Government Medical College, Eluru.",GMED,Reported,-,-,-,-,-,-,No Upgradation
25539,-,-,-,-,All India,Government Medical College Srinagar,PAED,Reported,All India,"Sher-i-Kashmir Institute of Medical Sciences, Srinagar,J&K ,SKIMS, SOURA, SRINAGAR-190011, Jammu And Kashmir, 190011",M.D. (PAEDIATRICS),SC,SC,45,Upgraded
25542,-,-,-,-,DNB Quota,"Rahmania Medical Centre, Bihar",DSUR,Reported,DNB Quota,"Vishesh Jupiter Hospital,Scheme No 94, Ring Road, near Teen Imli Chauraha, Sector 1, Indore, Madhya Pradesh 452020, Madhya Pradesh, 452020",(NBEMS) GENERAL SURGERY,Open,OBC,1896,Upgraded
25548,AD,"Continental Hospital,",NDORT,Reported,All India,Rajiv Gandhi Institute of Medical Sciences Srikakulam,EN-T,Reported,-,-,-,-,-,-,No Upgradation
25552,AI,Lady Hardinge Medical College,P-SM,Not Reported,All India,"Govt. Medical College, Jammu",ASTH,Not Reported,-,-,-,-,-,-,Not Allotted.
25553,AI,"VSS INSTITUTE OF MEDICAL SCIENCES AND RESEARCH,BURLA",DV-L,Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
25554,DU,Lady Hardinge Medical College,PATH,Reported,Delhi University Quota,University College of Medical Sciences,PATH,Reported,-,-,-,-,-,-,No Upgradation
25555,PS,"Kasturba Medical College Manipal, Manipal Academy Of Higher Education, Manipal",RADT,Reported,DNB Quota,"Rajan Eye Care Hospital,",DOPH,Reported,-,-,-,-,-,-,No Upgradation
25556,AD,"Kabra Eye Hospital, Rajasthan",DOPH,Reported,DNB Quota,"Dr. Kothari`s Eye Hospital,",DOPH,Reported,All India,"Government Medical College, Ratlam,Gram Banjali, Sailana Road, NH927A, Madhya Pradesh 457001, India, Madhya Pradesh, 457001",M.D. (ANAESTHESIOLOGY),Open,General,647,Upgraded
25557,AD,"Fortis Hospital,",DANS,Reported,-,-,-,-,-,-,-,-,-,-,No Upgradation
25558,AI,SHIMOGA INSTITUTE OF MEDICAL SCIENCES,GSUR,Not Reported,All India,SHIMOGA INSTITUTE OF MEDICAL SCIENCES,GSUR,Not Reported,-,-,-,-,-,-,Did not fill up fresh choices.
25560,AI,"GOVT. MEDICAL COLLEGE, THIRUVANANTHAPURAM",T-FM,Not Reported,DNB Quota,"Indira Gandhi Govt. General Hospital and PG Institute, No. 1,",DANS,Reported,-,-,-,-,-,-,No Upgradation
25561,AD,"Government Headquarters Hospital,",NDGO,Not Reported,-,-,-,-,DNB Quota,"Ananthapuri Hospital and Research Institute, ,Chacka, NH Bypass, Thiruvananthapuram 695024, Kerala, 695024",(NBEMS-DIPLOMA) Obstetrics and Gynaecology,Open,General,182,Fresh Allotted in 3nd Round
25562,AD,"Dhayal Hospital and Research Centre, Rajasthan",NDCH,Not Reported,DNB Quota,"Ashoka Medicover Hospital,",NDCH,Not Reported,-,-,-,-,-,-,Not Allotted.
25563,AD,"QRG Medicare,",DANS,Reported,DNB Quota,"Christian Institute of Health Sciences and Research,",DSUR,Reported,DNB Quota,"Aadhar Health Institute, (A UNIT OF VLCOM HEALTHCARE P LTD.) ,Aadhar Health Institute, A UNIT OF VLCOM HEALTHCARE P LTD. Tosham Road, Hisar, Haryana-125001, Haryana, 125001",(NBEMS) GENERAL SURGERY,Open,General,34,Upgraded
25564,AI,"Srirama Chandra Bhanja Medical College, CUTTACK",ASTH,Not Reported,All India,"Srirama Chandra Bhanja Medical College, CUTTACK",OBGY,Reported,-,-,-,-,-,-,Did not opt for Upgradation.
25566,AD,"Max Super Specialty Hospital,",DFLM,Reported,DNB Quota,Sadhu Vaswani Missions,DFLM,Reported,DNB Quota,"Max Super Specialty Hospital, ,1,2, Press Enclave Road, Saket, New Delhi, Delhi (NCT), 110017",(NBEMS) FAMILY MEDICINE,Open,General,2,Upgraded
25567,AD,"Fortis Hospital,",DANS,Not Reported,DNB Quota,"Government Hospital,",NDGO,Reported,All India,"Government Medical College, Gondia,Nehru Chowk, KTS General Hospital Campus, Govt. Medical College, Gondia. 441601. Maharashtra., Maharashtra, 441601",M.D. (ANAESTHESIOLOGY),Open,General,350,Upgraded
25569,AI,College of Medicine & Sagore Dutta Hospital,OBGY,Not Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
25570,AD,"Jaipur Golden Hospital,",DANS,Reported,-,-,-,-,DNB Quota,"Yatharth Superspeciality Hospitals, Uttar Pradesh,HO-01, Sector-01, Greater Noida West, Uttar Pradesh, 201306",(NBEMS) Otorhinolaryngology (E.N.T.),Open,General,377,Upgraded
25571,AI,Tirunelveli Medical College,GMED,Not Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
25572,AD,"Yashoda Health Care Services Private Limited, D.No: 2-41/14/Yashoda/GF, Sy No,41/14, Khanamet Village, Serilingampally(M), Hyderabad, Telangana- 500084",DANS,Not Reported,-,-,-,-,All India,"Government Medical College, Nalgonda,Office of the Principal, Government Medical College Nalgonda, Near RTC Bus Stand, Gollaguda, Nalgon, Telangana, 508001",M.D. (ANAESTHESIOLOGY),Open,General,119,Fresh Allotted in 3nd Round
