sno,rank,quota,institute,course,alloted_category,candidate_category,remarks
1,787,All India,"Sawai Man Singh Medical College, JAIPUR,Sawai Man Singh Medical College, JLN Marg, Jaipur-302004, Rajasthan, 302004",M.D. (GENERAL MEDICINE),Open,General,Allotted
2,1685,All India,"TOPIWALA NATIONAL MEDICAL COLLEGE,TOPIWALA NATIONAL MEDICAL COLLEGE B Y L Nair Ch Hospital, Dr. A.L. Nair Rd, Mumbai Central, Mumbai, Maharashtra, 400008",M.D. (RADIO- DIAGNOSIS),Open,OBC,Allotted
3,1884,DNB Quota,"Yashoda Super Speciality Hospital, ,RAJBHAVAN ROAD SOMAJIGUDA, Telangana, 500082",(NBEMS) RADIO- DIAGNOSIS,Open,General,Allotted
4,2156,All India,"Sawai Man Singh Medical College, JAIPUR,Sawai Man Singh Medical College, JLN Marg, Jaipur-302004, Rajasthan, 302004",M.D. (GENERAL MEDICINE),OBC,OBC,Allotted
5,2265,All India,"Government Medical College, Aurangabad,Government Medical College, Aurangabad, Maharashtra, 431001",M.D. (RADIO- DIAGNOSIS),Open,General,Allotted
6,2815,All India,"Government T D Medical College, Vandanm , Alappuzha,Government T D Medical College, Vandanam , Alappuzha, Kerala, 688005",M.D. (GENERAL MEDICINE),Open,OBC,Allotted
7,2903,All India,"Rangaraya Medical College,Rangaraya Medical College Beside SP Office , Pithapuram Road, Kakinada, Andhra Pradesh, 533003",M.D. (GENERAL MEDICINE),EWS,EWS,Allotted
8,2911,All India,"Govt. Medical College, Baroda,Govt. Medical College, Baroda, Gujarat, 390001",M.D. (RADIO- DIAGNOSIS),Open,General,Allotted
9,3166,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE, Gujarat, 361008",M.D. (RADIO- DIAGNOSIS),Open,General,Allotted
10,3248,All India,"SHYAM SHAH MEDICAL COLLEGE,deanmcrewa@rediffmail.com, Madhya Pradesh, 486001",M.D. (RADIO- DIAGNOSIS),Open,General,Allotted
11,3254,All India,"JAWAHARLAL NEHRU MEDICAL COLLEGE, ALIGARH MUSLIM UNIVERSITY STATE UTTAR,JAWAHARLAL NEHRU MEDICAL COLLEGE, ALIGARH MUSLIM UNIVERSITY STATE UTTAR, Uttar Pradesh, 202002",M.D. (GENERAL MEDICINE),OBC,OBC,Allotted
12,3259,All India,"Government Medical College, Aurangabad,Government Medical College, Aurangabad, Maharashtra, 431001",M.D. (RADIO- DIAGNOSIS),OBC,OBC,Allotted
