sno,rank,quota,institute,course,alloted_category,candidate_category,remarks
19039,46620,All India,"Shrikrishna Medical College & Hospital, Muzaffarpur,Sri Krishna Medical College and Hospital, Umanagar, Muzaffarpur, Bihar, 842004",M.D. (PHARMACOLOGY),Open,General,Allotted
19040,46621,Management/Paid Seats Quota,"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.D. (GENERAL MEDICINE),Open,OBC,Allotted
19041,46625,DNB Quota,"Mark Hospital,Chantidih Road, Sarkanda Bilaspur, Chhattisgarh, 495001",(NBEMS-DIPLOMA) ANAESTHESIOLOGY,Open,General,Allotted
19042,46646,Management/Paid Seats Quota,"SREE BALAJI MEDICAL COLLEGE AND HOSPITAL, CHENNAI,NO,7 WORKS ROAD,CHROMEPET,CHENNAI, Tamil Nadu, 600044",M.D. (RADIO- DIAGNOSIS),Open,OBC,Allotted
19043,46648,Management/Paid Seats Quota,"DR. D. Y. PATIL MEDICAL COLLEGE, PUNE,Dr. D. Y. Patil Medical College, Hospital and Research Centre, Sant Tukaram Nagar, Pimpri, Pune., Maharashtra, 411018",M.D. (PAEDIATRICS),Open,General,Allotted
19044,46658,Management/Paid Seats Quota,"D. Y. Patil Medical College, Kolhapur,869 E D. Y. PatilVidyanagar Kolhapur 416 006, Maharashtra, 416006",M.S. (ORTHOPAEDICS),Open,OBC,Allotted
19045,46660,DNB Quota,"Siddh Multi Specialty Hospital,SIDDH MULTISPECIALTY HOSPITAL HARTHALA INDUSTRIAL ESTATE KANTH ROAD MORADABAD UP, Uttar Pradesh, 244001",(NBEMS-DIPLOMA) ANAESTHESIOLOGY,Open,OBC,Allotted
19046,46663,Management/Paid Seats Quota,"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.D. (GENERAL MEDICINE),Open,General,Allotted
19047,46664,All India,"University College of Medical Sciences,University College of Medical Sciences, Delhi (NCT), 110095",MD/MS (Anatomy),Open,General,Allotted
19048,46674,Management/Paid Seats Quota,"MGM Medical College, Aurangabad,MGM Medical College, Aurangabad, Maharashtra, 431003",M.D. (Emergency and Critical Care)/M.D. (Emergency Medicine),Open,General,Allotted
19049,46681,All India,"Autonomous State Medical College, Firozabad,Autonomous State Medical College Society and S.N.M District Hospital,DAULATTAPUR JALESAR ROAD NARKHI, Uttar Pradesh, 283203",M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,Open,General,Allotted
19050,46684,All India,"ESIC MEDICAL COLLEGE, JOKA,ESI-PGIMSR & ESIC MEDICAL COLLEGE, JOKA, KOLKATA, WEST BENGAL, West Bengal, 700104",M.D. (PATHOLOGY),EWS,EWS,Allotted
19051,46695,Management/Paid Seats Quota,"SREE BALAJI MEDICAL COLLEGE AND HOSPITAL, CHENNAI,NO,7 WORKS ROAD,CHROMEPET,CHENNAI, Tamil Nadu, 600044",M.D. (GENERAL MEDICINE),Open,General,Allotted
19052,46700,DNB Quota,"Lala Harbhagwan Das Memorial and Dr Prem Hospital, ,BISHAN SWAROOP COLONY, OPP. BUS STAND, Haryana, 132103",(NBEMS-DIPLOMA) ANAESTHESIOLOGY,Open,General,Allotted
19053,46703,IP University Quota,"Vardhman Mahavir Medical College, , New Delhi,Vardhman Mahavir Medical College, , New Delhi, Delhi (NCT), 110029",M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,Open,EWS,Allotted
19054,46706,All India,"Government Medical College, Aurangabad,Government Medical College, Aurangabad, Maharashtra, 431001",M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,OBC,OBC,Allotted
19055,46708,All India,"Seth Gordhandas Sunderdas Medical College, MUMBAI,Seth Gordhandas Sunderdas Medical College, Acharya Donde Marg Parel MUMBAI, Maharashtra, 400012",M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,SC,SC,Allotted
19056,46720,Management/Paid Seats Quota,"Saveetha Medical College Nd Hospital,Saveetha Medical College and Hospital, Tamil Nadu, 602105",M.S. (E.N.T.),Open,EWS,Allotted
19057,46721,DNB Quota,"Sai Hospital, Distt Nainital, Uttaranchal,Mukhani Chauraha Haldwani Nainital 263139, Uttarakhand, 263139",(NBEMS-DIPLOMA) ANAESTHESIOLOGY,Open,General,Allotted
19058,46731,All India,"Sawai Man Singh Medical College, JAIPUR,Sawai Man Singh Medical College, JLN Marg, Jaipur-302004, Rajasthan, 302004",M.D. (PSYCHIATRY),ST,ST,Allotted
19059,46733,All India,"Osmania Medical Collge,5-1-876, Turrebaz Khan Rd, Troop Bazaar, Koti, Hyderabad, Telangana, Telangana, 500095",M.D. (MICROBIOLOGY),OBC,OBC,Allotted
19060,46737,All India,"Indira Gandhi Institute of Medical Sciences, Patna,Indira Gandhi Institute of Medical Sciences, Patna, Bihar, 800014",M.D. (PHARMACOLOGY),OBC,OBC,Allotted
19061,46741,DNB Quota,"Kerudi Hospital and Research Centre, Karnataka,opp axis bank extension area bagalkot, Karnataka, 587101",(NBEMS-DIPLOMA) ANAESTHESIOLOGY,Open,OBC,Allotted
19062,46742,Management/Paid Seats Quota,"KRISHNA INSTITUTE OF MEDICAL SCIENCES, KARAD,KRISHNA INSTITUTE OF MEDICAL SCIENCES, KARAD, Maharashtra, 415110",M.S. (E.N.T.),Open,General,Allotted
19063,46746,All India,"GAJRA RAJA MEDICAL COLLEGE GWALIOR,GAJRA RAJA MEDICAL COLLEGE GWALIOR, Madhya Pradesh, 474009",M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,Open,General,Allotted
19064,46752,All India,"Government Medical College, Nizamabad, Telangana State,Government Medical College, Nizamabad, Telangana State, Telangana, 503001",M.D. (Tuberculosis and Respiratory diseases)/Pulmonary Medicine /M.D. (Respiratory Medicine),ST,ST,Allotted
19065,46756,All India,"MEDICAL COLLEGE, KOLKATA,MEDICAL COLLEGE, KOLKATA, West Bengal, 700073",M.D. (PHARMACOLOGY),Open,General,Allotted
19066,46765,Jain Minority Quota,"SBKS Medical College and Research Centre, Vadodara,SBKS Medical Institute and Research Centre, Sumandeep Vidyapeeth, Piparia, Waghodia Rd, Vadodara, Gujarat, 391760",M.S. (ORTHOPAEDICS),Open,General,Allotted
19067,46766,Management/Paid Seats Quota,"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.D. (GENERAL MEDICINE),Open,General,Allotted
19068,46769,All India,"Sawai Man Singh Medical College, JAIPUR,Sawai Man Singh Medical College, JLN Marg, Jaipur-302004, Rajasthan, 302004",M.D. IN TRANSFUSION MEDICINE/ IMMUNO- HAEMATOLOGY and BLOOD TRANSFUSION,SC,SC,Allotted
19069,46770,Management/Paid Seats Quota,"Chettinad Hospital and Research Institute,Rajiv Gandhi Salai, Kelambakkam, Chengalpattu District, Tamil Nadu, 603103",M.D. (PAEDIATRICS),Open,SC,Allotted
19070,46773,Management/Paid Seats Quota,"M.M. Institute of Medical Sciences and Research, Ambala,M.M. Institute of Medical Sciences and Research, Ambala, Haryana, 133207",M.S. (GENERAL SURGERY),Open,OBC,Allotted
19071,46775,DNB Quota,"VCSG Govt Institute of Medical Science and Research and HNB Base Teaching Hospital , ,Srikot Ganganali Srinagar Garhwal Uttarakhand, Uttarakhand, 246174",(NBEMS-DIPLOMA) ANAESTHESIOLOGY,OBC,OBC,Allotted
19072,46779,Management/Paid Seats Quota,"Sri Ramachandra Medical College and Research Institute,Sri Ramachandra Medical College and Research Institute, Tamil Nadu, 600116",M.D. Sports Medicine,Open,OBC,Allotted
19073,46783,Management/Paid Seats Quota,"Jawaharlal Nehru Medical College, Sawangi (Meghe), Wardha-,Jawaharlal Nehru Medical College, Sawangi Meghe Wardha - 442107, Maharashtra State, Maharashtra, 442107",M.D. (PAEDIATRICS),Open,OBC,Allotted
19074,46787,Management/Paid Seats Quota,"MGM Medical College, Aurangabad,MGM Medical College, Aurangabad, Maharashtra, 431003",M.S. (GENERAL SURGERY),Open,General,Allotted
19075,46789,All India,"Government Medical College, Surat,Government Medical College, Majuragate, Surat., Gujarat, 395001",M.D. (PHARMACOLOGY),OBC,OBC,Allotted
19076,46790,DNB Quota,"Govt. District Saadat Hospital, ,Near Patel Circle Tonk, Rajasthan, 304001",(NBEMS-DIPLOMA) PAEDIATRICS,SC,SC,Allotted
19077,46801,All India,"Agartala Government Medical College,Agartala Government Medical College, Tripura, 799006",M.D. (PHARMACOLOGY),Open,OBC,Allotted
19078,46804,Management/Paid Seats Quota,"Jawaharlal Nehru Medical College, Sawangi (Meghe), Wardha-,Jawaharlal Nehru Medical College, Sawangi Meghe Wardha - 442107, Maharashtra State, Maharashtra, 442107",M.D. (PSYCHIATRY),Open,General,Allotted
19079,46807,Management/Paid Seats Quota,"SBKS Medical College and Research Centre, Vadodara,SBKS Medical Institute and Research Centre, Sumandeep Vidyapeeth, Piparia, Waghodia Rd, Vadodara, Gujarat, 391760",M.D. (ANAESTHESIOLOGY),Open,General,Allotted
19080,46819,Management/Paid Seats Quota,"Institute of Medical Sciences and SUM Hospital, Bhubaneswar,Institute of Medical Sciences and SUM Hospital K 8 Kalinga Nagar PO Mahalaxmi Vihar Bhubaneswar, Odisha, 751029",M.D. (ANAESTHESIOLOGY),Open,General,Allotted
19081,46834,DNB Quota,"Bhagat Phool Singh Govt. Medical College for Women,BHAGAT PHOOL SINGH GOVT. MEDICAL COLLEGE FOR WOMEN KHANPUR KALAN SONEPAT, Haryana, 131305",(NBEMS-DIPLOMA) Tuberculosis and CHEST DISEASES,SC,SC,Allotted
19082,46839,Management/Paid Seats Quota,"SRM MEDICAL COLLEGE HOSPITAL AND RESEARCH CENTRE, SRM INSTITUTE OF SCIENCE AND TECHNOLOGY,SRM MEDICAL COLLEGE HOSPITAL AND RESEARCH CENTRE,SRM IST, KATTANKULATHUR , CHENGALPATTU DIST, Tamil Nadu, 603203",M.S. (GENERAL SURGERY),Open,OBC,Allotted
19083,46841,All India,"Rajiv Gandhi Institute of Medical Sciences Srikakulam,Government Medical College Srikakulam Balaga Srikakulam Town Srikakulam District, Andhra Pradesh, 532001",M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,OBC,OBC,Allotted
19084,46855,DNB Quota,"District Hospital, Haveri, Near KEB, PB Road, Haveri, Karnataka, 581110",(NBEMS-DIPLOMA) ANAESTHESIOLOGY,SC,SC,Allotted
19085,46859,Management/Paid Seats Quota,"KRISHNA INSTITUTE OF MEDICAL SCIENCES, KARAD,KRISHNA INSTITUTE OF MEDICAL SCIENCES, KARAD, Maharashtra, 415110",M.S. (E.N.T.),Open,EWS,Allotted
19086,46860,Management/Paid Seats Quota,"KRISHNA INSTITUTE OF MEDICAL SCIENCES, KARAD,KRISHNA INSTITUTE OF MEDICAL SCIENCES, KARAD, Maharashtra, 415110",M.S. (ORTHOPAEDICS),Open,OBC,Allotted
19087,46861,All India,"S.V. Medical College, Tirupathi ,S.V. Medical College, Tirupathi, Andhra Pradesh, 517501",M.S. (GENERAL SURGERY),ST,ST,Allotted
19088,46866,Management/Paid Seats Quota,"Malla Reddy Institute of Medical Sciences,Suraram X Roads, Jeedimetla, Hyderabad, Telangana, 500055",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Open,OBC,Allotted
19089,46876,DNB Quota,"Goverment District Hospital Bundi, ,IN FRONT OF COLLECTORATE BUNDI, Rajasthan, 323001",(NBEMS-DIPLOMA) FAMILY MEDICINE,Open,OBC,Allotted
19090,46883,Management/Paid Seats Quota,"Bharati Vidyapeeth Deemed to be University Medical College,Pune,Bharati Vidyapeeth Deemed to be University Medical College, Dhankawadi, Pune Satara Road, Pune, Maharashtra, 411043",M.D. (Emergency and Critical Care)/M.D. (Emergency Medicine),Open,General,Allotted
19091,46888,DNB Quota,"Felix Hospital, ,NH-01 SECTOR 137 NOIDA EXPRESSWAY UP, Uttar Pradesh, 201305",(NBEMS-DIPLOMA) FAMILY MEDICINE,Open,EWS,Allotted
19092,46892,Management/Paid Seats Quota,"MGM Medical College, Navi Mumbai,MGM Medical College, Sector1, Plot 1, Kamothe, Navi Mumbai- 410209, Maharashtra, 410209",M.S. (GENERAL SURGERY),Open,General,Allotted
19093,46898,Management/Paid Seats Quota,"M.M. Institute of Medical Sciences and Research, Ambala,M.M. Institute of Medical Sciences and Research, Ambala, Haryana, 133207",M.S. (GENERAL SURGERY),Open,General,Allotted
19094,46901,DNB Quota,"BOLPUR SUB DIVISION HOSPITAL , West Benga,NANOOR CHANDIDAS ROAD, BOLPUR, BIRBHUM , West Bengal-731204",(NBEMS-DIPLOMA) ANAESTHESIOLOGY,Open,General,Allotted
19095,46920,Management/Paid Seats Quota,"Chettinad Hospital and Research Institute,Rajiv Gandhi Salai, Kelambakkam, Chengalpattu District, Tamil Nadu, 603103",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Open,General,Allotted
19096,46940,Management/Paid Seats Quota,"Jawaharlal Nehru Medical College, Sawangi (Meghe), Wardha-,Jawaharlal Nehru Medical College, Sawangi Meghe Wardha - 442107, Maharashtra State, Maharashtra, 442107",M.D. (PAEDIATRICS),Open,OBC,Allotted
19097,46941,All India,"University College of Medical Sciences,University College of Medical Sciences, Delhi (NCT), 110095",M.D. (PHARMACOLOGY),EWS,EWS,Allotted
19098,46946,Non-Resident Indian,"Sri Ramachandra Medical College and Research Institute,Sri Ramachandra Medical College and Research Institute, Tamil Nadu, 600116",M.D. (GENERAL MEDICINE),Open,General,Allotted
19099,46956,All India,"NIZAMS INSTITUTE OF MEDICAL SCIENCES,NIZAMS INSTITUTE OF MEDICAL SCIENCES PANJAGUTTA HYDERABAD, Telangana, 500082",M.D. (MICROBIOLOGY),OBC,OBC,Allotted
19100,46973,All India,"Andhra Medical College,Andhra Medical College, Andhra Pradesh, 530002",M.D. (FORENSIC MEDICINE),OBC,OBC,Allotted
19101,46974,DNB Quota,"Associated Hospital Government Medical College, ,Government Medical College Chack Sajjan Kathua, Jammu And Kashmir, 184101",(NBEMS) COMMUNITY MEDICINE,Open,General,Allotted
19102,46978,All India,"BPS Govt. Medical College for Women, Khanpur Kalan Sonepat,BPS Govt. Medical College for Women, Khanpur Kalan Sonepat, Haryana, 131305",M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,OBC,OBC,Allotted
19103,46986,DNB Quota,"District Combined Hospital, Ghaziabad, Uttar Pradesh ,DISTRICT COMBINED HOSPITAL SANJAY NAGAR GHAZIABAD, Uttar Pradesh, 201002",(NBEMS-DIPLOMA) PAEDIATRICS,SC,SC,Allotted
19104,46991,Management/Paid Seats Quota,"Sri Lakshmi narayana institute of medical sciences,puducherry,Sri Lakshmi narayana institute of medical sciences,puducherry, Puducherry, 605502",M.D. (RADIO- DIAGNOSIS),Open,General,Allotted
19105,46999,All India,"Calcutta School Of Tropical Medicine,Calcutta School of Tropical Medicine 108, C.R.Avenue , Kolkata-700073, West Bengal, 700073",M.D. (PHARMACOLOGY),Open,General,Allotted
19106,47000,DNB Quota,"Government Medical College and Super Facility Hospital, Distt.-Azamgarh, Uttar Pradesh,Chakrapanpur, Kanaila, Azamgarh, Uttar Pradesh, 276128",(NBEMS-DIPLOMA) FAMILY MEDICINE,OBC,OBC,Allotted
19107,47002,Management/Paid Seats Quota,"JSS Medical College, Mysuru,JSS Medical Institutions Campus Sri Shivarathreeshwara Nagar Bannimantap Mysuru, Karnataka, 570015",M.D. (ANAESTHESIOLOGY),Open,General,Allotted
19108,47005,Management/Paid Seats Quota,"AMRITA SCHOOL OF MEDICINE,Kochi,Amrita School of Medicine, Amrita Institute of Medical Sciences,AIMS Ponekkara P.O, Kochi, Kerala, 682041",M.D. (ANAESTHESIOLOGY),Open,OBC,Allotted
19109,47011,All India,"Tezpur Medical College,Tumuki, Bihaguri, Tezpur, Sonitpur, Assam, Assam, 784010",M.S. (GENERAL SURGERY),ST,ST,Allotted
19110,47016,Delhi University Quota,"Lady Hardinge Medical College,Lady Hardinge Medical College, Delhi (NCT), 110001",M.D. (FORENSIC MEDICINE),SC,SC,Allotted
19111,47019,DNB Quota,"Siddh Multi Specialty Hospital,SIDDH MULTISPECIALTY HOSPITAL HARTHALA INDUSTRIAL ESTATE KANTH ROAD MORADABAD UP, Uttar Pradesh, 244001",(NBEMS-DIPLOMA) ANAESTHESIOLOGY,Open,EWS,Allotted
19112,47025,All India,"Siddhartha Medical College, Vijayawada,Siddhartha Medical College, Vijayawada, Andhra Pradesh, 520008",M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,OBC,OBC,Allotted
19113,47037,Management/Paid Seats Quota,"Malla Reddy Medical College for Women,Suraram X Roads, Jeedimetla, Hyderabad, Telangana, 500055",M.D. (Tuberculosis and Respiratory diseases)/Pulmonary Medicine /M.D. (Respiratory Medicine),Open,General,Allotted
19114,47043,All India,"R G KAR MEDICAL COLLEGE, West Bengal,R G KAR MEDICAL COLLEGE,1 KHUDIRAM BOSE SARANI,KOLKATA, West Bengal, West Bengal, 700004",M.D. (MICROBIOLOGY),Open,General,Allotted
19115,47057,Non-Resident Indian,"Institute of Medical Sciences and SUM Hospital, Bhubaneswar,Institute of Medical Sciences and SUM Hospital K 8 Kalinga Nagar PO Mahalaxmi Vihar Bhubaneswar, Odisha, 751029",M.D. (RADIO- DIAGNOSIS),Open,General,Allotted
19116,47061,DNB Quota,"SETH V. C. GANDHI and M. A. VORA MUNICIPAL GENERAL HOSPITAL (RAJAWADI HOSPITAL),Maharashtra,hospital.rajawadi@gmail.com, Maharashtra, 400077",(NBEMS) PAEDIATRICS,ST,ST,Allotted
19117,47071,All India,"Mahatma Gandhi Memorial Medical College, Indore,Mahatma Gandhi Memorial Medical College, Indore, Madhya Pradesh, 452001",M.D. (BIOCHEMISTRY),Open,General,Allotted
19118,47072,DNB Quota,"Marwari Hospitals, Assam,Sati Jaymati Road, Athgoan, Guwahati, Assam, 781008",(NBEMS-DIPLOMA) FAMILY MEDICINE,Open,OBC,Allotted
19119,47076,Management/Paid Seats Quota,"KRISHNA INSTITUTE OF MEDICAL SCIENCES, KARAD,KRISHNA INSTITUTE OF MEDICAL SCIENCES, KARAD, Maharashtra, 415110",M.S. (GENERAL SURGERY),Open,OBC,Allotted
19120,47082,DNB Quota,"Kashyap Memorial eye hospital Pvt. Ltd., Jharkhand,PURULIA ROAD, RANCHI, Jharkhand, 834001",(NBEMS-DIPLOMA) OPHTHALMOLOGY,Open,General,Allotted
19121,47091,DNB Quota,"Raj Eye Hospital,CHHATRA SANGH CHAURAHA, CANT ROAD, GORAKHPUR, Uttar Pradesh, 273001",(NBEMS-DIPLOMA) OPHTHALMOLOGY,Open,General,Allotted
19122,47097,Management/Paid Seats Quota,"Shri Sathya Sai Medical College and Research Institute,Kancheepuram,SBV Chennai Campus, Shri Sathya Sai Nagar, Ammapettai, Chennai, Tamil Nadu, 603108",M.D. (GENERAL MEDICINE),Open,OBC,Allotted
19123,47098,Management/Paid Seats Quota,"Shri Sathya Sai Medical College and Research Institute,Kancheepuram,SBV Chennai Campus, Shri Sathya Sai Nagar, Ammapettai, Chennai, Tamil Nadu, 603108",M.D. (GENERAL MEDICINE),Open,General,Allotted
19124,47101,All India,"RAJIV GANDHI MEDICAL COLLEGE KALWA THANE,RAJIV GANDHI MEDICAL COLLEGE,THANE BELAPUR ROAD, KALWA, THANE, Maharashtra, 400605",M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,OBC,OBC,Allotted
19125,47113,Management/Paid Seats Quota,"Rajarajeswari Medical College and Hospital,No. 202, Kambipura, Mysore Road, Bengaluru, Karnataka, 560074",M.S. (GENERAL SURGERY),Open,EWS,Allotted
19126,47117,All India,"Government Medical College, Ratlam,Gram Banjali, Sailana Road, NH927A, Madhya Pradesh 457001, India, Madhya Pradesh, 457001",M.D. (PATHOLOGY),EWS,EWS,Allotted
19127,47124,All India,"Maharaja Krushna Chandra Gajapati Medical College , Brahmapur,Maharaja Krushna Chandra Gajapati Medical College , Brahmapur, Odisha, 760004",M.D. (PATHOLOGY),EWS,EWS,Allotted
19128,47127,All India,"LOKMANYA TILAK MEDICAL COLLEGE MUMBAI,LOKMANYA TILAK MEDICAL COLLEGE MUMBAI, Maharashtra, 400022",M.D. (PATHOLOGY),SC,SC,Allotted
19129,47129,IP University Quota,"PGIMER, DR. RML Hospital, Cannaught Place, New Delhi,ABVIMS, DR. RML Hospital, Baba Kharak Singh Marg, Cannaught Place, New Delhi",M.S. (ORTHOPAEDICS),ST,ST,Allotted
19130,47132,All India,"Government Medical College, Nagpur,Government Medical College, Nagpur, Maharashtra, 440003",M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,OBC,OBC,Allotted
19131,47133,Management/Paid Seats Quota,"KALINGA INSTITUTE OF MEDICAL SCIENCES,KALINGA INSTITUTE OF MEDICAL SCIENCES, Odisha, 751024",M.D. (ANAESTHESIOLOGY),Open,General,Allotted
