sno,rank,quota,institute,course,alloted_category,candidate_category,remarks
1,3394,All India,"Gandhi Medical College, Bhopal,Gandhi Medical College, Bhopal, Madhya Pradesh, 462001",M.D. (RADIO- DIAGNOSIS),Open,EWS,Allotted
2,5375,DNB Quota,"Aakash Healthcare Super Specialty Hospital, Delhi,HOSPITAL PLOT, ROAD NO- 201,SECTOR 3 DWARKA, NEW DELHI, Delhi (NCT), 110075",(NBEMS) GENERAL MEDICINE,Open,EWS,Allotted
3,6631,All India,"Grant Medical College, Maharashtra,Grant Medical College, Maharashtra, Maharashtra, 400008","M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SKIN and VENEREAL DISEASES)/(VENEREOL OGY)",Open,OBC,Allotted
4,6691,All India,"TOPIWALA NATIONAL MEDICAL COLLEGE,TOPIWALA NATIONAL MEDICAL COLLEGE B Y L Nair Ch Hospital, Dr. A.L. Nair Rd, Mumbai Central, Mumbai, Maharashtra, 400008",M.D. (RADIO- DIAGNOSIS),EWS,EWS,Allotted
5,6733,All India,"INDIRA GANDHI MEDICAL COLLEGE AND RESEARCH INSTITUTE, PUDUCHERRY,INDIRA GANDHI MEDICAL COLLEGE AND RESEARCH INSTITUTE, PUDUCHERRY, Puducherry, 605009",M.D. (GENERAL MEDICINE),OBC,OBC,Allotted
6,7304,All India,"GOVT MEDICAL COLLEGE, ANANTAPURAMU,GOVT MEDICAL COLLEGE, ANANTAPURAMU, Andhra Pradesh, 515001","M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SKIN and VENEREAL DISEASES)/(VENEREOL OGY)",Open,General,Allotted
7,7611,All India,"RAICHUR INSTITUTE OF MEDICAL SCIENCES,RAICHUR INSTITUTE OF MEDICAL SCIENCES, Karnataka, 584102","M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SKIN and VENEREAL DISEASES)/(VENEREOL OGY)",Open,General,Allotted
8,12468,All India,"Gandhi Medical College, Bhopal,Gandhi Medical College, Bhopal, Madhya Pradesh, 462001",M.D. (PAEDIATRICS),Open,General,Allotted
9,12491,All India,"Government medical college patiala.,Government medical college patiala., Punjab, 147001",M.D. (PAEDIATRICS),OBC,OBC,Allotted
10,12888,DNB Quota,"Asian Institute of Medical Sciences,,Asian Institute of Medical Sciences, Badhkal Flyover Road,Sector-21A, Faridabad, Haryana-121001, Haryana, 121001",(NBEMS) GENERAL MEDICINE,Open,General,Allotted
11,13229,All India,"Siddhartha Medical College, Vijayawada,Siddhartha Medical College, Vijayawada, Andhra Pradesh, 520008",M.D. (PAEDIATRICS),Open,General,Allotted
12,13997,DNB Quota,"Dr. B. Nanavati Hospital, Vivekanand Rd,Swami Vivekananda Rd, near LIC, LIC Colony, Suresh Colony, Vile Parle West, Mumbai, Maharashtra 4000, Maharashtra, 400056",(NBEMS) PAEDIATRICS,Open,General,Allotted
13,14085,All India,"GOA MEDICAL COLLEGE,Bambolim, Goa, Goa, 403202",M.D. (Tuberculosis and Respiratory diseases)/Pulmonary Medicine /M.D. (Respiratory Medicine),OBC,OBC,Allotted
14,14186,All India,"SHYAM SHAH MEDICAL COLLEGE,deanmcrewa@rediffmail.com, Madhya Pradesh, 486001",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Open,General,Allotted
15,14216,All India,"COIMBATORE MEDICAL COLLEGE,COIMBATORE MEDICAL COLLEGE, CIVIL AERODROME POST, AVINASHI ROAD, PEELAMEDU, COIMBATORE-14, Tamil Nadu, 641014",M.D. (PAEDIATRICS),Open,General,Allotted
16,14725,DNB Quota,"Apollo Hospital, ,NO. 21, OFF GREAMS LANE, GREAMS ROAD, CHENNAI, Tamil Nadu, 600006",(NBEMS) GENERAL MEDICINE,Open,General,Allotted
17,15615,DNB Quota,"Kalra Hospital and Shri Ram Cardiothoracic and Neuro-Sciences Centre, ,,A-4,5 & 6, Kirti Nagar, New Delhi -110015, Delhi (NCT), 110015",(NBEMS) GENERAL MEDICINE,Open,EWS,Allotted
18,16311,DNB Quota,"Shri Balaji Institute of Medical Sceince,,MOWA, RAIPUR, Chhattisgarh, 492001",(NBEMS) GENERAL MEDICINE,Open,General,Allotted
19,16654,All India,"KING GEORGES MEDICAL UNIVERSITY,KING GEORGES MEDICAL UNIVERSITY, Shahmeena Road, Chowk, Lucknow-226003, Uttar Pradesh, 226003",M.S. (ORTHOPAEDICS),OBC,OBC,Allotted
20,16712,All India,"Grant Medical College, Maharashtra,Grant Medical College, Maharashtra, Maharashtra, 400008",M.D. (Tuberculosis and Respiratory diseases)/Pulmonary Medicine /M.D. (Respiratory Medicine),EWS,EWS,Allotted
21,16875,DNB Quota,"SAL Hospital and Medical Institute,,NEAR TAKSHASHILA",(NBEMS) GENERAL MEDICINE,Open,General,Allotted
